,participant_id,condition,difficulty,frequency,instance,time_1st_fix_Diagnostics,time_1st_fix_Diagnostics_norm,visit_count_Actions,visit_count_Actions_norm,visit_len_Description,visit_len_Description_norm
0,1,Easy Fast,Easy,Fast,1,10.14029140472412,4.285651208957013,3.9,1.2862676931609305,1.8861757579303924,0.660662304725426
1,1,Easy Fast,Easy,Fast,2,7.507539049784342,3.4234186671669917,4.533333333333333,1.4196930912089163,2.0226735247506036,0.7366937683644668
2,1,Easy Slow,Easy,Slow,1,10.317203164100647,4.33919802917533,4.0,1.30883381067823,2.60589618455796,1.0180915338594896
3,1,Easy Slow,Easy,Slow,2,11.107892411095756,4.572941580325339,3.857142857142857,1.2764038082052336,2.0024348599570136,0.7257091123317797
4,1,Hard Fast,Hard,Fast,1,21.138177020209177,7.0072251520313,7.428571428571429,1.8459613777319066,2.8490904487916744,1.1193524956537608
5,1,Hard Fast,Hard,Fast,2,7.061668104595608,3.262723183688378,5.555555555555555,1.5973362883697633,2.1196536287189924,0.7880338299998285
6,1,Hard Slow,Hard,Slow,1,8.394269275665284,3.7290317550678957,7.6,1.8652299945106243,2.2652187986600967,0.8613676622356748
7,1,Hard Slow,Hard,Slow,2,13.121454858779908,5.132127166237862,8.8,1.9881723772869915,2.152179037044251,0.8047931560692454
8,2,Easy Fast,Easy,Fast,1,9.25949985330755,4.0116123909126635,3.4545454545454546,1.1774978412180273,2.9805989670031,1.171001041367522
9,2,Easy Fast,Easy,Fast,2,7.6080756620927295,3.4589695180649938,2.8181818181818183,0.9924060174943126,2.390953783796291,0.9214682079313755
10,2,Easy Slow,Easy,Slow,1,8.750616590181986,3.8471459072890895,2.8333333333333335,0.9973211396054794,2.931916528277927,1.1521180444881651
11,2,Easy Slow,Easy,Slow,2,9.163791179656982,3.9810417861408194,4.0,1.30883381067823,1.4304539327110561,0.366205312261175
12,2,Hard Fast,Hard,Fast,1,14.370446920394897,5.456973841868123,6.333333333333333,1.7102128971233317,2.811648699972365,1.1042668140656275
13,2,Hard Fast,Hard,Fast,2,9.531918048858643,4.097748030695533,4.25,1.3626752906064108,2.3568903208725036,0.9054640660869878
14,2,Hard Slow,Hard,Slow,1,12.609516143798828,4.994400241799669,5.0,1.5056687228990355,3.924472784996033,1.4923296301264122
15,2,Hard Slow,Hard,Slow,2,13.181401491165161,5.1480726184354255,4.2,1.3521864272753974,2.686183440685272,1.052402408286295
16,4,Easy Fast,Easy,Fast,1,2.6093945652246475,1.221858110718649,2.2666666666666666,0.7908953594719624,1.84201939939743,0.6350358314294156
17,4,Easy Fast,Easy,Fast,2,5.763043483098348,2.762373603517711,1.8125,0.5801376759913867,1.2082491837165974,0.1914495140456134
18,4,Easy Slow,Easy,Slow,1,10.869447429974874,4.503379719005505,2.1666666666666665,0.7486843061452407,1.519598142684452,0.4296964708247744
19,4,Easy Slow,Easy,Slow,2,5.577667444944382,2.6863884029536598,1.2857142857142858,0.24868772759219218,0.8423996468385061,-0.16965735048834507
20,4,Hard Fast,Hard,Fast,1,5.15990526676178,2.510242053052153,3.7,1.2391921091461986,1.5443535147170828,0.4467499887015599
21,4,Hard Fast,Hard,Fast,2,3.7478419634012075,1.8528178672567992,2.769230769230769,0.9763284349900425,1.254388207044357,0.22992189944729963
22,4,Hard Slow,Hard,Slow,1,8.319269299507141,3.7038460474901314,3.1666666666666665,1.0987818713509578,1.6500864180307542,0.5170007151140134
23,4,Hard Slow,Hard,Slow,2,5.332751819065639,2.5839790799328672,3.5714285714285716,1.2074489873504557,1.4583437162044244,0.3864322491516098
24,5,Easy Fast,Easy,Fast,1,8.037559100559779,3.6081868347061077,5.0,1.5056687228990355,1.5661562965029763,0.4615728405993465
25,5,Easy Fast,Easy,Fast,2,10.564937489373344,4.413394094194163,4.571428571428571,1.427063634132434,1.7584596804210118,0.5850361938251876
26,5,Easy Slow,Easy,Slow,1,8.558032751083374,3.7836261366304256,4.75,1.4607480079468764,2.5784797459840774,1.0061633396712784
27,5,Easy Slow,Easy,Slow,2,8.247193908691406,3.679532242349373,3.6,1.2146088785068627,1.9621811747550963,0.7035697239820113
28,5,Hard Fast,Hard,Fast,1,11.65704345703125,4.730282458438544,7.25,1.8253705714291912,3.161342815132368,1.2388293116977984
29,5,Hard Fast,Hard,Fast,2,8.009786367416382,3.5986634741629504,7.5,1.8540479427584013,1.9439740598201751,0.6934252727850819
30,5,Hard Slow,Hard,Slow,1,16.9021254380544,6.073596345368743,7.333333333333333,1.835047222043406,3.268176612920231,1.2773436234915239
31,5,Hard Slow,Hard,Slow,2,11.554224610328674,4.701117812211321,6.5,1.7324431738494914,3.150148073832194,1.234727971115687
32,6,Easy Fast,Easy,Fast,1,6.855788654751247,3.1867635411934083,2.6666666666666665,0.9416196550345116,1.4995948710138836,0.41573834324870307
33,6,Easy Fast,Easy,Fast,2,9.126198855313389,3.9689894402579493,2.3636363636363638,0.829942602116896,1.6285340171871765,0.5030067318711795
34,6,Easy Slow,Easy,Slow,1,5.913273056348165,2.823035402673122,1.8333333333333333,0.5910058077978233,1.6192288716634113,0.4969148280163316
35,6,Easy Slow,Easy,Slow,2,12.476768493652344,4.958220042619767,1.5,0.3986570685856805,1.399951179822286,0.34368493971002606
36,6,Hard Fast,Hard,Fast,1,4.187808007001877,2.0695629486467593,4.0,1.30883381067823,2.618478485941887,1.0235291018699126
37,6,Hard Fast,Hard,Fast,2,11.128993844985962,4.57906040058147,2.4,0.8441396338214107,2.636597315470378,1.0313193641999994
38,6,Hard Slow,Hard,Slow,1,17.838207960128784,6.28943150983686,3.0,1.0495794690010354,3.148032645384471,1.233951525858605
39,6,Hard Slow,Hard,Slow,2,11.06081751982371,4.559269623595054,3.0,1.0495794690010354,1.8486276030540465,0.6389048772165286
40,7,Easy Fast,Easy,Fast,1,10.927257752418518,4.520316247861418,2.7,0.953056433791848,2.293015805936995,0.8749010043645418
41,7,Easy Fast,Easy,Fast,2,7.766184778774486,3.5143936525143777,2.3125,0.8095723712543504,1.5118965969366185,0.4243415061804485
42,7,Easy Slow,Easy,Slow,1,6.868343761989048,3.1914290656570468,1.7142857142857142,0.5270103853444862,2.6477283097448807,1.0360820154198944
43,7,Easy Slow,Easy,Slow,2,5.350203616278512,2.591355367479529,1.8571428571428572,0.6032638180647586,1.8613429387410483,0.6463157213081816
44,7,Hard Fast,Hard,Fast,1,9.955281866921318,4.229137208544272,5.0,1.5056687228990355,1.7263619858121115,0.5652765354430573
45,7,Hard Fast,Hard,Fast,2,7.230322142442067,3.3241042663610734,3.4166666666666665,1.1675552201146753,1.367184442281723,0.31901028016835864
46,7,Hard Slow,Hard,Slow,1,13.283290068308512,5.175089106216007,4.5,1.4131885904745018,4.00826398730278,1.5174697767730525
47,7,Hard Slow,Hard,Slow,2,10.20852541923523,4.30636040821981,4.0,1.30883381067823,1.8002866835348188,0.6103177129293318
48,8,Easy Fast,Easy,Fast,1,6.64988204411098,3.1096119005271463,3.2142857142857144,1.1123253517322298,0.9764864024568265,-0.023758748451929938
49,8,Easy Fast,Easy,Fast,2,5.717445884432111,2.7438011705886027,2.7857142857142856,0.9817764773753895,0.7113111629169815,-0.33342401875280525
50,8,Easy Slow,Easy,Slow,1,9.979242665427071,4.236486655072915,3.2857142857142856,1.1322381317294863,1.8395415374210902,0.6335819379314499
51,8,Easy Slow,Easy,Slow,2,6.731346470969064,3.140280797612444,3.5714285714285716,1.2074489873504557,0.8598069418044317,-0.1496162563653909
52,8,Hard Fast,Hard,Fast,1,7.779616141319275,3.5190750915098605,5.5,1.5886269850063792,1.1249576115118467,0.11862489645848244
53,8,Hard Fast,Hard,Fast,2,6.716178754965465,3.1345851235251723,3.8333333333333335,1.2708724139368872,1.1966390025994134,0.18156659277741213
54,8,Hard Slow,Hard,Slow,1,11.030394792556763,4.550418038638724,5.6,1.6042360434840166,1.76361709912618,0.5881817177533633
55,8,Hard Slow,Hard,Slow,2,8.037301103274027,3.608098444494793,3.1666666666666665,1.0987818713509578,0.7972295943391386,-0.22340150100865214
56,9,Easy Fast,Easy,Fast,1,3.4274131518143873,1.6865972805221907,3.6153846153846154,1.2184387408011814,0.9891818544366857,-0.010869622005845575
57,9,Easy Fast,Easy,Fast,2,3.010191631317139,1.4576900051461912,3.1333333333333333,1.089169440981712,1.1568917522165512,0.147085910098812
58,9,Easy Slow,Easy,Slow,1,7.403174916903178,3.3862545488852396,2.0,0.6734091279065213,1.485271128018697,0.4056430430812705
59,9,Easy Slow,Easy,Slow,2,9.79258128007253,4.1789900639613595,4.0,1.30883381067823,1.218889283755469,0.20043407531453225
60,9,Hard Fast,Hard,Fast,1,7.753133237361908,3.5098406102115547,5.0,1.5056687228990355,2.2594742554800336,0.8585527757300343
61,9,Hard Fast,Hard,Fast,2,2.8050994873046875,1.3391762725459306,4.181818181818182,1.3483387027942884,2.180306759747592,0.8191089887650131
62,9,Hard Slow,Hard,Slow,1,10.403134059906005,4.365036891607722,4.8,1.4699340587513168,2.099934728656496,0.777763565536825
63,9,Hard Slow,Hard,Slow,2,10.876574357350668,4.505470172961821,4.0,1.30883381067823,1.5220357808801863,0.43138644560960165
64,10,Easy Fast,Easy,Fast,1,1.43207441843473,0.39237100948587206,2.8461538461538463,1.0014578914617294,1.453033962005224,0.3826075768320006
65,10,Easy Fast,Easy,Fast,2,1.5754344622294107,0.5086472683493451,2.7857142857142856,0.9817764773753895,1.2761037712626986,0.24760281794093372
66,10,Easy Slow,Easy,Slow,1,17.518115162849426,6.216296651855183,1.8333333333333333,0.5910058077978233,2.032572919792599,0.7420317898491245
67,10,Easy Slow,Easy,Slow,2,10.68282969792684,4.4483885368763065,1.6,0.4608721800963184,1.6296507750238691,0.5037358068474586
68,10,Hard Fast,Hard,Fast,1,1.5592991312344868,0.49583972547454563,3.3333333333333335,1.1452544147164478,0.9662025464905634,-0.034307276546772916
69,10,Hard Fast,Hard,Fast,2,0.23023712635040283,-1.0497833694321224,2.8461538461538463,1.0014578914617294,2.7391246645878526,1.0745398997739415
70,10,Hard Slow,Hard,Slow,1,12.207455921173096,4.884206296913077,3.8,1.2630655877260137,2.4303091787879083,0.9397124866366329
71,10,Hard Slow,Hard,Slow,2,5.740124861399333,2.7530480602844123,4.333333333333333,1.3798630026964909,2.9741642076559742,1.1685206443049914
72,12,Easy Fast,Easy,Fast,1,8.765552663803101,3.852042097316288,4.111111111111111,1.3332010433479298,1.7138075946058546,0.5574605026773224
73,12,Easy Fast,Easy,Fast,2,5.60282442967097,2.6967755266316455,3.3636363636363638,1.1534330086556344,1.2636025550819578,0.23745667740293777
74,12,Easy Slow,Easy,Slow,1,11.925644119580587,4.805853198590423,1.8333333333333333,0.5910058077978233,1.7524195211274285,0.5813420191806891
75,12,Easy Slow,Easy,Slow,2,12.020159244537354,4.83223659227835,2.7142857142857144,0.9579111501412653,1.5254186315195903,0.4337278068368902
76,12,Hard Fast,Hard,Fast,1,12.144675118582589,4.866832298594524,6.142857142857143,1.6840171047558812,1.5085091442103662,0.42197862474041387
77,12,Hard Fast,Hard,Fast,2,4.672286185351285,2.295092108742714,4.363636363636363,1.3860244328087137,1.3659268157478708,0.3180529806879154
78,12,Hard Slow,Hard,Slow,1,16.282594871520995,5.92735318584152,5.4,1.5727072766981518,2.3352431472142534,0.8951881600387325
79,12,Hard Slow,Hard,Slow,2,17.66693787574768,6.250384379421198,2.6,0.9182739697302973,2.2868047308921815,0.8718895459750836
80,13,Easy Fast,Easy,Fast,1,6.714867424964905,3.1340923917444896,3.0,1.0495794690010354,1.4976024516423543,0.4143391543367012
81,13,Easy Fast,Easy,Fast,2,7.335724959006677,3.362092168731481,2.8333333333333335,0.9973211396054794,1.969028610449571,0.7073636339444935
82,13,Easy Slow,Easy,Slow,1,11.294111092885336,4.626735286000059,2.3333333333333335,0.8179297225492308,1.981501619021098,0.714244937968942
83,13,Easy Slow,Easy,Slow,2,5.918014605840047,2.8249370400495226,2.5,0.8820104463224,2.2536047399044037,0.8556701854049289
84,13,Hard Fast,Hard,Fast,1,9.237655460834503,4.004649363492077,5.375,1.568677406683651,2.7054468408226966,1.060501204654911
85,13,Hard Fast,Hard,Fast,2,11.542343765497208,4.697739218289431,3.875,1.2805281247180194,2.5379134657837095,0.9883090820011203
86,13,Hard Slow,Hard,Slow,1,12.697813558578492,5.01835727092065,3.6,1.2146088785068627,4.3834546911148795,1.6246961320465272
87,13,Hard Slow,Hard,Slow,2,8.340945959091187,3.711137224624812,5.0,1.5056687228990355,3.577607076697879,1.3829964720976413
88,14,Easy Fast,Easy,Fast,1,7.8158006851489725,3.5316664147222387,2.6153846153846154,0.9237185599106257,2.4660175885909643,0.9560440918155666
