participant_id,block_id,block_type,task_id,start_timestamp,reaction_time,clicked_timestamp,completion_time,end_timestamp,errors,task_code,block_data
1,1,4,1,1710323124.1463904,2.949218750000007,1710323127.0956092,131.046875,1710323258.1424842,0,MAV#5494,"[np.float64(1710323124.1360192), 564.3022397, np.float64(1710323688.4382591)]"
1,1,4,2,1710323259.1463904,6.951171875,1710323266.0975623,70.71874999999997,1710323336.8163123,0,MAV#7398,"[np.float64(1710323124.1360192), 564.3022397, np.float64(1710323688.4382591)]"
1,1,4,3,1710323339.8182654,0.982421875,1710323340.8006873,99.62109375,1710323440.421781,0,MAV#6215,"[np.float64(1710323124.1360192), 564.3022397, np.float64(1710323688.4382591)]"
1,1,4,4,1710323442.4237342,0.84765625,1710323443.2713904,54.224609375,1710323497.4959998,0,MAV#0274,"[np.float64(1710323124.1360192), 564.3022397, np.float64(1710323688.4382591)]"
1,1,4,5,1710323499.497953,0.7059311750000461,1710323500.2038841,58.036256324999954,1710323558.2401404,0,MAV#7001,"[np.float64(1710323124.1360192), 564.3022397, np.float64(1710323688.4382591)]"
1,1,4,6,1710323562.2429466,0.859375,1710323563.1023216,61.76086570000001,1710323624.8631873,0,MAV#5649,"[np.float64(1710323124.1360192), 564.3022397, np.float64(1710323688.4382591)]"
1,1,4,7,1710323627.8651404,1.05078125,1710323628.9159217,48.419921875,1710323677.3358436,0,MAV#8880,"[np.float64(1710323124.1360192), 564.3022397, np.float64(1710323688.4382591)]"
1,2,1,1,1710323796.5428748,0.818359375,1710323797.3612342,43.068359375,1710323840.4295936,0,MAV#4465,"[np.float64(1710323796.5320091), 420.62414694999995, np.float64(1710324217.156156)]"
1,2,1,2,1710323874.4334998,1.564453125,1710323875.997953,33.09375,1710323909.091703,0,MAV#4231,"[np.float64(1710323796.5320091), 420.62414694999995, np.float64(1710324217.156156)]"
1,2,1,3,1710323939.0945091,2.048956100000055,1710323941.143465,48.84667522500001,1710323989.9901404,0,MAV#2794,"[np.float64(1710323796.5320091), 420.62414694999995, np.float64(1710324217.156156)]"
1,2,1,4,1710324020.997953,2.3094852750000427,1710324023.3074381,18.62801472499996,1710324041.935453,0,MAV#4511,"[np.float64(1710323796.5320091), 420.62414694999995, np.float64(1710324217.156156)]"
1,2,1,5,1710324073.9413123,1.88671875,1710324075.828031,19.113281250000117,1710324094.9413123,0,MAV#4216,"[np.float64(1710323796.5320091), 420.62414694999995, np.float64(1710324217.156156)]"
1,2,1,6,1710324126.9452186,1.931640625,1710324128.8768592,32.55859375,1710324161.435453,0,MAV#6738,"[np.float64(1710323796.5320091), 420.62414694999995, np.float64(1710324217.156156)]"
1,3,2,1,1710324279.6151404,7.002806174999932,1710324286.6179466,38.48156882500007,1710324325.0995154,0,MAV#2882,"[np.float64(1710324279.6046257), 336.7878583749998, np.float64(1710324616.3924842)]"
1,3,2,2,1710324330.1034217,0.7176499249999324,1710324330.8210716,30.143678200000068,1710324360.9647498,0,MAV#3106,"[np.float64(1710324279.6046257), 336.7878583749998, np.float64(1710324616.3924842)]"
1,3,2,3,1710324363.9695091,1.1796875,1710324365.1491966,25.067506325000068,1710324390.216703,0,MAV#1719,"[np.float64(1710324279.6046257), 336.7878583749998, np.float64(1710324616.3924842)]"
1,3,2,4,1710324393.216703,1.166015625,1710324394.3827186,27.724609375,1710324422.107328,0,MAV#5637,"[np.float64(1710324279.6046257), 336.7878583749998, np.float64(1710324616.3924842)]"
1,3,2,5,1710324424.109281,1.08984375,1710324425.1991248,17.25208029999999,1710324442.451205,0,MAV#7443,"[np.float64(1710324279.6046257), 336.7878583749998, np.float64(1710324616.3924842)]"
1,3,2,6,1710324446.451078,0.50390625,1710324446.9549842,39.08203125,1710324486.0370154,1,MAV#2781,"[np.float64(1710324279.6046257), 336.7878583749998, np.float64(1710324616.3924842)]"
1,3,2,7,1710324491.0389686,0.98828125,1710324492.0272498,19.32507179999993,1710324511.3523216,0,MAV#9903,"[np.float64(1710324279.6046257), 336.7878583749998, np.float64(1710324616.3924842)]"
1,3,2,8,1710324515.359281,1.349609375,1710324516.7088904,35.396484375,1710324552.1053748,0,MAV#7439,"[np.float64(1710324279.6046257), 336.7878583749998, np.float64(1710324616.3924842)]"
