,participant_id,block_id,block_type,NASA_TLX_01,NASA_TLX_02,NASA_TLX_03,NASA_TLX_04,NASA_TLX_05,NASA_TLX_Score,NASA_TLX_Score2,NASA_TLX_Score3,FL_Score
137,19,2,2,15,9,16,9,9.0,57.0,61.25,70,5.0
138,19,3,3,9,19,9,3,3.0,22.0,25.0,40,3.0
139,19,4,1,13,20,9,2,2.0,23.0,27.5,60,2.0
140,19,5,5,7,18,4,9,1.0,20.0,25.0,30,1.0
141,19,6,6,15,19,13,2,7.0,35.0,36.25,70,5.0
142,19,7,8,13,16,10,6,10.0,40.0,38.75,60,6.0
143,19,8,7,15,18,14,10,9.0,47.0,48.75,70,6.0
144,20,1,2,2,19,2,1,2.0,5.0,5.0,5,2.0
145,20,2,4,11,7,15,8,2.0,46.0,56.25,50,6.0
146,20,3,1,2,19,3,2,2.0,7.0,7.5,5,2.0
147,20,4,3,7,18,6,2,2.0,16.0,18.75,30,5.0
148,20,5,8,14,17,13,3,5.0,35.0,38.75,65,5.0
149,20,6,7,16,15,16,4,1.0,39.0,48.75,75,6.0
150,20,7,6,16,11,13,4,4.0,43.0,50.0,75,5.0
151,20,8,5,6,18,6,2,1.0,14.0,17.5,25,4.0
