participant_id,difficulty,frequency,condition,errors,completion_time,reaction_time,group,errors_norm,completion_time_norm,reaction_time_norm
1,Easy,Fast,Easy Fast,0.28,25.91138247974927,1.2848438825803168,Easy - Fast,0.16485189036723638,1.1057686159978766,0.7067375430490761
1,Easy,Slow,Easy Slow,0.0,28.952789844230804,1.3578258423076914,Easy - Slow,0.0,1.1120188633311296,0.7294035699482271
1,Hard,Fast,Hard Fast,0.0,55.503085778623,1.4478472761962924,Hard - Fast,0.0,1.139377431365512,0.7560549125123407
1,Hard,Slow,Hard Slow,0.1,50.72598369000002,1.1222903275000136,Hard - Slow,0.08095028931120969,1.1363934294003903,0.6524344660152552
2,Easy,Fast,Easy Fast,0.2727272727272727,23.963215043181837,1.5279775875000146,Easy - Fast,0.16244120609671345,1.101030070873902,0.7786577821046247
2,Easy,Slow,Easy Slow,0.6666666666666666,27.087410012500033,1.610235710416627,Easy - Slow,0.23681033653361083,1.1083337357348133,0.8008487670033921
2,Hard,Fast,Hard Fast,0.9285714285714286,42.61514607857142,1.4545492910714504,Hard - Fast,0.2556542097606528,1.1299584709045987,0.7579845540707695
2,Hard,Slow,Hard Slow,0.7777777777777778,37.846602452777645,2.121961805555625,Hard - Slow,0.24634388639092417,1.1250276482193013,0.9199506971441925
4,Easy,Fast,Easy Fast,0.20588235294117646,15.175270330147093,1.0566022904411558,Easy - Fast,0.13704778880102678,1.066879919586586,0.6288232255088805
4,Easy,Slow,Easy Slow,0.0,15.496485289285696,1.393051871428627,Easy - Slow,0.0,1.0687146999225006,0.7399981080458176
4,Hard,Fast,Hard Fast,0.17391304347826086,22.64265650652175,0.9022650891304633,Hard - Fast,0.12248139005903273,1.0974094165730848,0.5689779497420585
4,Hard,Slow,Hard Slow,0.15384615384615385,21.915474300000003,1.1133872192308094,Hard - Slow,0.11238055314585577,1.0952514231922883,0.6492941323246662
5,Easy,Fast,Easy Fast,1.0,44.85846989642861,2.143830694642832,Easy - Fast,0.25902410032052176,1.131948459851385,0.9244289668961471
5,Easy,Slow,Easy Slow,1.1111111111111112,46.75508107777776,2.452761633333315,Easy - Slow,0.2632993820772653,1.1334956016255961,0.9834002507256429
5,Hard,Fast,Hard Fast,1.7,60.94425796,2.7590951949999862,Hard - Fast,0.2751071488966093,1.1422544174701936,1.0350537134214266
5,Hard,Slow,Hard Slow,1.0,84.92466517857144,2.5466898178571458,Hard - Slow,0.25902410032052176,1.150850337928792,0.9998947847962008
6,Easy,Fast,Easy Fast,0.2,28.43648936250001,1.4804641474999982,Easy - Fast,0.13449844908034544,1.111042143902581,0.7653776599085462
6,Easy,Slow,Easy Slow,0.5,23.455993725000024,1.157836347916638,Easy - Slow,0.2157370602478176,1.0996821674657578,0.6647923650858442
6,Hard,Fast,Hard Fast,0.2777777777777778,32.71409170416669,1.2901137736111221,Hard - Fast,0.16412187387835586,1.118294477064236,0.7084077234180651
6,Hard,Slow,Hard Slow,0.36363636363636365,32.404191104545475,1.6931755909090782,Hard - Slow,0.1886127688967237,1.117826935721336,0.8222615562564094
7,Easy,Fast,Easy Fast,0.14814814814814814,19.09717885740742,0.9707189564814532,Easy - Fast,0.10936510793924244,1.0855340361941381,0.5963240101755304
7,Easy,Slow,Easy Slow,0.0,15.778950841071394,1.115002151785721,Easy - Slow,0.0,1.0702744015576564,0.6498651192190904
7,Hard,Fast,Hard Fast,0.047619047619047616,26.432760786904765,0.9842899821428491,Hard - Fast,0.042905642182852685,1.106930920729592,0.6015890014939994
7,Hard,Slow,Hard Slow,0.08333333333333333,27.975602008333322,0.9112251520833752,Hard - Slow,0.06974086522547415,1.1101431008587044,0.572634490865192
8,Easy,Fast,Easy Fast,0.03571428571428571,18.149108700000085,1.3625898499999818,Easy - Fast,0.0330075638679509,1.0816741355321213,0.73084920047988
8,Easy,Slow,Easy Slow,0.0,18.395932541071346,1.6039237142857112,Easy - Slow,0.0,1.0827126069503978,0.7991805433178035
8,Hard,Fast,Hard Fast,0.045454545454545456,25.260556777272736,1.2701276011363545,Hard - Fast,0.04114381273916485,1.1042579605551115,0.7020450622305949
8,Hard,Slow,Hard Slow,0.09090909090909091,27.399763797727278,1.718624434090905,Hard - Slow,0.07493218075630693,1.1089819677723876,0.8286489363433798
9,Easy,Fast,Easy Fast,0.10714285714285714,18.65624322589289,1.1047817071428523,Easy - Fast,0.0855233165568231,1.0837816711675934,0.6462412577490746
9,Easy,Slow,Easy Slow,0.0,20.123239172916673,1.3198784625000475,Easy - Slow,0.0,1.0893491760488285,0.7177418107639509
9,Hard,Fast,Hard Fast,0.15789473684210525,30.020554909210574,1.4894780592104866,Hard - Fast,0.11448250349324753,1.1139432486997058,0.767924091441339
9,Hard,Slow,Hard Slow,0.2727272727272727,29.349015175000037,1.2448887613636026,Hard - Slow,0.16244120609671345,1.1127475684375514,0.6938981614404879
10,Easy,Fast,Easy Fast,0.03571428571428571,18.658973378571424,1.265974915178597,Easy - Fast,0.0330075638679509,1.0837927448175677,0.7007132752881641
10,Easy,Slow,Easy Slow,0.0,20.455750880769223,1.4405893615384002,Easy - Slow,0.0,1.0905130080524341,0.7539569243833086
10,Hard,Fast,Hard Fast,0.28,21.80079209799999,1.2164903189999767,Hard - Fast,0.16485189036723638,1.094899485211092,0.6845779146570292
10,Hard,Slow,Hard Slow,0.09090909090909091,36.80263741136355,1.3974218431818302,Hard - Slow,0.07493218075630693,1.1237953585034224,0.7412973147439504
